Level,No,English,Korean
Beginner,1,Hi! How are you?,안녕하세요! 잘 지내세요?
Beginner,2,Nice to meet you.,만나서 반가워요.
Beginner,3,Excuse me.,실례합니다.
Beginner,4,I’m sorry.,죄송합니다.
Beginner,5,Thank you.,감사합니다.
Beginner,6,You’re welcome.,천만에요.
Beginner,7,I don’t understand.,이해가 안 돼요.
Beginner,8,"Can you repeat that, please?",다시 한 번 말씀해 주실 수 있나요?
Beginner,9,"Can you speak slowly, please?",천천히 말해 주실 수 있나요?
Beginner,10,Where is the restroom?,화장실은 어디에 있나요?
Beginner,11,Where is the subway station?,지하철역은/는 어디에 있나요?
Beginner,12,Where is the bus stop?,버스 정류장은/는 어디에 있나요?
Beginner,13,Where is the exit?,출구은/는 어디에 있나요?
Beginner,14,Where is the entrance?,입구은/는 어디에 있나요?
Beginner,15,Where is the hotel?,호텔은/는 어디에 있나요?
Beginner,16,Where is the restaurant?,식당은/는 어디에 있나요?
Beginner,17,Where is the pharmacy?,약국은/는 어디에 있나요?
Beginner,18,Where is the hospital?,병원은/는 어디에 있나요?
Beginner,19,Where is the bank?,은행은/는 어디에 있나요?
Beginner,20,Where is the convenience store?,편의점은/는 어디에 있나요?
Beginner,21,Where is the supermarket?,슈퍼마켓은/는 어디에 있나요?
Beginner,22,Where is the coffee shop?,카페은/는 어디에 있나요?
Beginner,23,Where is the police station?,경찰서은/는 어디에 있나요?
Beginner,24,Where is the information desk?,안내 데스크은/는 어디에 있나요?
Beginner,25,Where is the ticket office?,매표소은/는 어디에 있나요?
Beginner,26,Where is the platform?,승강장은/는 어디에 있나요?
Beginner,27,Where is the elevator?,엘리베이터은/는 어디에 있나요?
Beginner,28,Where is the stairs?,계단은/는 어디에 있나요?
Beginner,29,Where is the parking lot?,주차장은/는 어디에 있나요?
Beginner,30,"Can I have a sandwich, please?",샌드위치 하나 주세요.
Beginner,31,"Can I have a salad, please?",샐러드 하나 주세요.
Beginner,32,"Can I have a bowl of soup, please?",수프 한 그릇 하나 주세요.
Beginner,33,"Can I have fried rice, please?",볶음밥 하나 주세요.
Beginner,34,"Can I have pasta, please?",파스타 하나 주세요.
Beginner,35,"Can I have a burger, please?",버거 하나 주세요.
Beginner,36,"Can I have pizza, please?",피자 하나 주세요.
Beginner,37,"Can I have noodles, please?",면 요리 하나 주세요.
Beginner,38,"Can I have dumplings, please?",만두 하나 주세요.
Beginner,39,"Can I have a steak, please?",스테이크 하나 주세요.
Beginner,40,"Can I have chicken, please?",치킨 하나 주세요.
Beginner,41,"Can I have fish, please?",생선 하나 주세요.
Beginner,42,"Can I have rice, please?",밥 하나 주세요.
Beginner,43,"Can I have a vegetarian dish, please?",채식 메뉴 하나 주세요.
Beginner,44,"Can I have a gluten-free dish, please?",글루텐 프리 메뉴 하나 주세요.
Beginner,45,"Can I have a dessert, please?",디저트 하나 주세요.
Beginner,46,"Can I have ice cream, please?",아이스크림 하나 주세요.
Beginner,47,"Can I have a slice of cake, please?",케이크 한 조각 하나 주세요.
Beginner,48,"Can I have fruit, please?",과일 하나 주세요.
Beginner,49,"Can I have a breakfast set, please?",아침 세트 하나 주세요.
Beginner,50,"Can I have water, please?",물 하나 주세요.
Beginner,51,"Can I have sparkling water, please?",탄산수 하나 주세요.
Beginner,52,"Can I have coffee, please?",커피 하나 주세요.
Beginner,53,"Can I have iced coffee, please?",아이스 커피 하나 주세요.
Beginner,54,"Can I have tea, please?",차 하나 주세요.
Beginner,55,"Can I have green tea, please?",녹차 하나 주세요.
Beginner,56,"Can I have milk, please?",우유 하나 주세요.
Beginner,57,"Can I have juice, please?",주스 하나 주세요.
Beginner,58,"Can I have orange juice, please?",오렌지 주스 하나 주세요.
Beginner,59,"Can I have a soda, please?",탄산음료 하나 주세요.
Beginner,60,"I’d like water, please.",물 부탁드려요.
Beginner,61,"I’d like sparkling water, please.",탄산수 부탁드려요.
Beginner,62,"I’d like coffee, please.",커피 부탁드려요.
Beginner,63,"I’d like iced coffee, please.",아이스 커피 부탁드려요.
Beginner,64,"I’d like tea, please.",차 부탁드려요.
Beginner,65,"I’d like green tea, please.",녹차 부탁드려요.
Beginner,66,"I’d like milk, please.",우유 부탁드려요.
Beginner,67,"I’d like juice, please.",주스 부탁드려요.
Beginner,68,"I’d like orange juice, please.",오렌지 주스 부탁드려요.
Beginner,69,"I’d like a soda, please.",탄산음료 부탁드려요.
Beginner,70,How much is this one?,이 거 얼마예요?
Beginner,71,How much is this ticket?,이 티켓 얼마예요?
Beginner,72,How much is this bag?,이 가방 얼마예요?
Beginner,73,How much is this shirt?,이 셔츠 얼마예요?
Beginner,74,How much is this coffee?,이 커피 얼마예요?
Beginner,75,How much is this menu?,이 메뉴 얼마예요?
Beginner,76,Please go straight.,직진하세요
Beginner,77,Please turn left.,왼쪽으로 도세요
Beginner,78,Please turn right.,오른쪽으로 도세요
Beginner,79,Please take the first left.,첫 번째 왼쪽으로 도세요
Beginner,80,Please take the second right.,두 번째 오른쪽으로 도세요
Beginner,81,Please cross the street.,길을 건너세요
Beginner,82,Please it's on your left.,왼쪽에 있어요
Beginner,83,Please it's on your right.,오른쪽에 있어요
Beginner,84,Can you show me the subway station on the map?,지도에서 지하철역 위치를 보여 주실 수 있나요?
Beginner,85,Can you show me the bus stop on the map?,지도에서 버스 정류장 위치를 보여 주실 수 있나요?
Beginner,86,Can you show me the restroom on the map?,지도에서 화장실 위치를 보여 주실 수 있나요?
Beginner,87,Can you show me the exit on the map?,지도에서 출구 위치를 보여 주실 수 있나요?
Beginner,88,Can you show me the entrance on the map?,지도에서 입구 위치를 보여 주실 수 있나요?
Beginner,89,Can you show me the hotel on the map?,지도에서 호텔 위치를 보여 주실 수 있나요?
Beginner,90,Can you show me the restaurant on the map?,지도에서 식당 위치를 보여 주실 수 있나요?
Beginner,91,Can you show me the pharmacy on the map?,지도에서 약국 위치를 보여 주실 수 있나요?
Beginner,92,Can you show me the hospital on the map?,지도에서 병원 위치를 보여 주실 수 있나요?
Beginner,93,Can you show me the bank on the map?,지도에서 은행 위치를 보여 주실 수 있나요?
Beginner,94,Can you show me the convenience store on the map?,지도에서 편의점 위치를 보여 주실 수 있나요?
Beginner,95,Can you show me the supermarket on the map?,지도에서 슈퍼마켓 위치를 보여 주실 수 있나요?
Beginner,96,Can you show me the coffee shop on the map?,지도에서 카페 위치를 보여 주실 수 있나요?
Beginner,97,Can you show me the police station on the map?,지도에서 경찰서 위치를 보여 주실 수 있나요?
Beginner,98,Can you show me the information desk on the map?,지도에서 안내 데스크 위치를 보여 주실 수 있나요?
Beginner,99,Can you show me the ticket office on the map?,지도에서 매표소 위치를 보여 주실 수 있나요?
Beginner,100,Can you show me the platform on the map?,지도에서 승강장 위치를 보여 주실 수 있나요?
Beginner,101,Can you show me the elevator on the map?,지도에서 엘리베이터 위치를 보여 주실 수 있나요?
Beginner,102,Can you show me the stairs on the map?,지도에서 계단 위치를 보여 주실 수 있나요?
Beginner,103,Can you show me the parking lot on the map?,지도에서 주차장 위치를 보여 주실 수 있나요?
Beginner,104,I want a sandwich.,샌드위치 먹고 싶어요.
Beginner,105,I want a salad.,샐러드 먹고 싶어요.
Beginner,106,I want a bowl of soup.,수프 한 그릇 먹고 싶어요.
Beginner,107,I want fried rice.,볶음밥 먹고 싶어요.
Beginner,108,I want pasta.,파스타 먹고 싶어요.
Beginner,109,I want a burger.,버거 먹고 싶어요.
Beginner,110,I want pizza.,피자 먹고 싶어요.
Beginner,111,I want noodles.,면 요리 먹고 싶어요.
Beginner,112,I want dumplings.,만두 먹고 싶어요.
Beginner,113,I want a steak.,스테이크 먹고 싶어요.
Beginner,114,I want chicken.,치킨 먹고 싶어요.
Beginner,115,I want fish.,생선 먹고 싶어요.
Beginner,116,I want rice.,밥 먹고 싶어요.
Beginner,117,I want a vegetarian dish.,채식 메뉴 먹고 싶어요.
Beginner,118,I want a gluten-free dish.,글루텐 프리 메뉴 먹고 싶어요.
Beginner,119,I want a dessert.,디저트 먹고 싶어요.
Beginner,120,I want ice cream.,아이스크림 먹고 싶어요.
Beginner,121,I want a slice of cake.,케이크 한 조각 먹고 싶어요.
Beginner,122,I want fruit.,과일 먹고 싶어요.
Beginner,123,I want a breakfast set.,아침 세트 먹고 싶어요.
Beginner,124,I need the subway station.,지하철역이/가 필요해요.
Beginner,125,I need the bus stop.,버스 정류장이/가 필요해요.
Beginner,126,I need the restroom.,화장실이/가 필요해요.
Beginner,127,I need the exit.,출구이/가 필요해요.
Beginner,128,I need the entrance.,입구이/가 필요해요.
